"ID_Frame","behavior_label","Experimenter"
"PTZ_1_00001","SW","E8"
"PTZ_1_00002","SW","E8"
"PTZ_1_00003","SW","E8"
"PTZ_1_00004","SW","E8"
"PTZ_1_00005","SW","E8"
"PTZ_1_00006","SW","E8"
"PTZ_1_00007","SW","E8"
"PTZ_1_00008","SW","E8"
"PTZ_1_00009","SW","E8"
"PTZ_1_00010","SW","E8"
"PTZ_1_00011","SW","E8"
"PTZ_1_00012","SW","E8"
"PTZ_1_00013","SW","E8"
"PTZ_1_00014","NT","E8"
"PTZ_1_00015","NT","E8"
"PTZ_1_00016","NT","E8"
"PTZ_1_00017","NT","E8"
"PTZ_1_00018","NT","E8"
"PTZ_1_00019","NT","E8"
"PTZ_1_00020","SW","E8"
"PTZ_1_00021","SW","E8"
"PTZ_1_00022","SW","E8"
"PTZ_1_00023","SW","E8"
"PTZ_1_00024","SW","E8"
"PTZ_1_00025","SW","E8"
"PTZ_1_00026","SW","E8"
"PTZ_1_00027","SW","E8"
"PTZ_1_00028","SW","E8"
"PTZ_1_00029","SW","E8"
"PTZ_1_00030","SW","E8"
"PTZ_1_00031","SW","E8"
"PTZ_1_00032","SW","E8"
"PTZ_1_00033","NT","E8"
"PTZ_1_00034","NT","E8"
"PTZ_1_00035","NT","E8"
"PTZ_1_00036","NT","E8"
"PTZ_1_00037","SW","E8"
"PTZ_1_00038","SW","E8"
"PTZ_1_00039","SW","E8"
"PTZ_1_00040","SW","E8"
"PTZ_1_00041","SW","E8"
"PTZ_1_00042","NT","E8"
"PTZ_1_00043","NT","E8"
"PTZ_1_00044","NT","E8"
"PTZ_1_00045","NT","E8"
"PTZ_1_00046","NT","E8"
"PTZ_1_00047","NT","E8"
"PTZ_1_00048","NT","E8"
"PTZ_1_00049","NT","E8"
"PTZ_1_00050","NT","E8"
"PTZ_1_00051","NT","E8"
"PTZ_1_00052","SW","E8"
"PTZ_1_00053","SW","E8"
"PTZ_1_00054","SW","E8"
"PTZ_1_00055","SW","E8"
"PTZ_1_00056","SW","E8"
"PTZ_1_00057","SW","E8"
"PTZ_1_00058","SW","E8"
"PTZ_1_00059","SW","E8"
"PTZ_1_00060","SW","E8"
"PTZ_1_00061","SW","E8"
"PTZ_1_00062","SW","E8"
"PTZ_1_00063","SW","E8"
"PTZ_1_00064","SW","E8"
"PTZ_1_00065","SW","E8"
"PTZ_1_00066","SW","E8"
"PTZ_1_00067","SW","E8"
"PTZ_1_00068","SW","E8"
"PTZ_1_00069","SW","E8"
"PTZ_1_00070","SW","E8"
"PTZ_1_00071","SW","E8"
"PTZ_1_00072","SW","E8"
"PTZ_1_00073","SW","E8"
"PTZ_1_00074","SW","E8"
"PTZ_1_00075","SW","E8"
"PTZ_1_00076","SW","E8"
"PTZ_1_00077","SW","E8"
"PTZ_1_00078","SW","E8"
"PTZ_1_00079","SW","E8"
"PTZ_1_00080","NT","E8"
"PTZ_1_00081","NT","E8"
"PTZ_1_00082","NT","E8"
"PTZ_1_00083","NT","E8"
"PTZ_1_00084","NT","E8"
"PTZ_1_00085","NT","E8"
"PTZ_1_00086","NT","E8"
"PTZ_1_00087","NT","E8"
"PTZ_1_00088","NT","E8"
"PTZ_1_00089","NT","E8"
"PTZ_1_00090","NT","E8"
"PTZ_1_00091","NT","E8"
"PTZ_1_00092","NT","E8"
"PTZ_1_00093","NT","E8"
"PTZ_1_00094","NT","E8"
"PTZ_1_00095","NT","E8"
"PTZ_1_00096","NT","E8"
"PTZ_1_00097","NT","E8"
"PTZ_1_00098","NT","E8"
"PTZ_1_00099","NT","E8"
"PTZ_1_00100","NT","E8"
"PTZ_1_00101","NT","E8"
"PTZ_1_00102","NT","E8"
"PTZ_1_00103","NT","E8"
"PTZ_1_00104","NT","E8"
"PTZ_1_00105","NT","E8"
"PTZ_1_00106","NT","E8"
"PTZ_1_00107","NT","E8"
"PTZ_1_00108","NT","E8"
"PTZ_1_00109","NT","E8"
"PTZ_1_00110","SW","E8"
"PTZ_1_00111","SW","E8"
"PTZ_1_00112","SW","E8"
"PTZ_1_00113","SW","E8"
"PTZ_1_00114","SW","E8"
"PTZ_1_00115","SW","E8"
"PTZ_1_00116","SW","E8"
"PTZ_1_00117","SW","E8"
"PTZ_1_00118","SW","E8"
"PTZ_1_00119","NT","E8"
"PTZ_1_00120","NT","E8"
"PTZ_1_00121","NT","E8"
"PTZ_1_00122","SW","E8"
"PTZ_1_00123","SW","E8"
"PTZ_1_00124","SW","E8"
"PTZ_1_00125","SW","E8"
"PTZ_1_00126","SW","E8"
"PTZ_1_00127","SW","E8"
"PTZ_1_00128","SW","E8"
"PTZ_1_00129","SW","E8"
"PTZ_1_00130","SW","E8"
"PTZ_1_00131","HYPE","E8"
"PTZ_1_00132","HYPE","E8"
"PTZ_1_00133","NT","E8"
"PTZ_1_00134","NT","E8"
"PTZ_1_00135","NT","E8"
"PTZ_1_00136","NT","E8"
"PTZ_1_00137","NT","E8"
"PTZ_1_00138","NT","E8"
"PTZ_1_00139","NT","E8"
"PTZ_1_00140","NT","E8"
"PTZ_1_00141","NT","E8"
"PTZ_1_00142","NT","E8"
"PTZ_1_00143","NT","E8"
"PTZ_1_00144","SW","E8"
"PTZ_1_00145","SW","E8"
"PTZ_1_00146","SW","E8"
